slc,soilType,claySurface,claySubsurface,sandSurface,sandSubsurface,siltSurface,siltSubsurface,cfSurface,cfSubsurface,awhcSurface,awhcSubsurface,ppe,ocSurfacePerc,surfacePH,subsurfacePH,surfaceEC,subsurfaceEC,sarSurface,sarSubsurface,E_DEPTH,bd,egdd,a,surfaceFibre,subsurfaceFibre,organicDepth,waterTableDepth,masterHorizon,substrateCF,substrateSilt,substrateClay
583012,10,10.66666667,25.5,18.66666667,47.5,37.66666667,27.5,6.333333333,49.5,11.33333333,33,-97.8,2.43,4.833333333,4.95,0,0,3.0711,0.5027,200,0.633333333,946,0,32,97,100,32,R,90,29,37
583013,3,39.33333333,45,13,17.5,47.66666667,38,2.666666667,4,15.66666667,64,-168.1,1.213333333,5.2,5.15,0,0.6,2.017033333,0.1237,178.44,1,1100,3.62,54,74,86,41,CO,65,49,93
583014,8,22.33333333,45.5,11.33333333,18,33.66666667,37,5.666666667,9,16.33333333,73.5,-136.9,1.156666667,5.333333333,5,0,0,1.477333333,0.08615,200,0.966666667,1027,0,24,4,39,40,C,88,42,96
583015,23,21.66666667,45.5,11,18,34,37.5,5,8,15,68.5,-144.4,1.51,5.433333333,5.2,0,0,1.688,0.1085,200,0.866666667,1105,0,79,95,32,43,A,72,52,21
583017,19,0,0,0,0,0,0,0,0,2,15,-184.8,5.36,3.733333333,4.15,0,0,1.74,0.98765,200,0.1,1156,6.96,95,10,78,78,R,91,94,96
583018,12,21.66666667,45.5,11,18,34,37.5,5,8,15,68.5,-168.3,1.51,5.433333333,5.2,0,0,1.688,0.1085,200,0.866666667,1163,3.66,43,19,25,49,CO,35,56,15
583019,2,46.33333333,45.5,8,15,45.66666667,39.5,0,0,15.66666667,58.5,-170.8,0.986666667,5.1,5.25,0,1.5,2.8529,0.12645,147.64,1.1,1102,4.16,85,18,41,18,C,15,61,1
584001,25,22.33333333,44.5,12,19,32.66666667,37,4.333333333,7,13.66666667,62.5,-162.8,1.816666667,5.366666667,5.35,0,0,1.844,0.13735,200,0.8,1166,2.56,8,96,63,9,A,51,77,27
584002,29,21.33333333,44,12,19,33.66666667,37.5,3.666666667,5,14.33333333,63.5,-158.4,1.85,5.4,5.75,0,0.45,1.8252,0.1376,171.8,0.8,1134,1.68,88,93,68,2,R,57,83,26
584003,22,20.33333333,45,11,18,35.33333333,38,3.666666667,5,16,70.5,-168.9,1.576666667,5.5,6.15,0,0.9,1.6504,0.10895,143.6,0.866666667,1144,3.78,31,72,82,22,CO,14,46,32
586001,2,28.33333333,54,16.33333333,16.5,55.33333333,30,1,1,18.66666667,74,-251.8,0.386666667,5.7,7.4,0,4,0.957333333,0.05085,67.2,1.2,1317,20.36,42,46,23,53,C,54,82,56
586002,22,16.66666667,18.5,22.33333333,20,61.33333333,61.5,0,0,16.66666667,72,-246.2,1.253333333,5.833333333,7.2,0,0.8,1.062666667,0.5462,200,1,1309,19.24,43,27,49,75,A,42,52,71
586003,1,34,58.5,8,5,58,36,0.666666667,0,18,76.5,-238.2,0.863333333,6.066666667,7.05,0,2.55,0.974266667,0.06665,111.8,1.033333333,1308,17.64,85,13,34,86,R,56,79,77
586004,23,13,31.5,37,25,50.33333333,43.5,0.333333333,0.5,14.33333333,71,-260.4,1.223333333,5.7,6.85,0,1.05,2.587566667,0.4999,200,1,1348,22.08,98,35,51,99,CO,86,4,2
586005,29,15.33333333,19,25.66666667,22,59,58.5,0,0,19,83,-256.9,0.41,5.866666667,7.4,0,1.1,1.435566667,0.6675,200,1.2,1379,21.38,94,55,67,1,C,22,59,71
586006,3,15,20.5,24.66666667,20,60.66666667,59.5,0,0,18.66666667,82.5,-264.7,0.733333333,6.133333333,7.1,0,0.4,1.780233333,0.5136,200,1.133333333,1345,22.94,74,54,38,76,A,98,44,18
586007,19,28.33333333,54,16.33333333,16.5,55.33333333,30,1,1,18.66666667,74,-262.9,0.386666667,5.7,7.4,0,4,0.957333333,0.05085,67.2,1.2,1327,22.58,8,55,95,25,R,62,66,7
586008,8,48.33333333,61.5,9,5.5,42.66666667,33.5,0,0,20.33333333,77,-243.7,0.826666667,6,7,0,0.75,0.888266667,0.0268,162.2,1,1322,18.74,92,58,71,81,CO,29,41,23
586009,23,48,63,4.666666667,4.5,47.33333333,33,0,0,18.33333333,72,-251.3,1.11,6.433333333,7.2,0,1.45,0.933733333,0.0441,150.4,0.933333333,1358,20.26,13,67,51,27,C,52,4,58
586010,29,26,26,40,40,34,34,5.666666667,7,18.33333333,67.5,-255.1,0.173333333,6.966666667,7.3,0,0,0.9,0.18,200,1.433333333,1375,21.02,40,27,85,79,A,61,80,67
586011,10,31.66666667,51,17.33333333,8.5,51.33333333,41,0.666666667,1,16.33333333,76,-221.4,1.483333333,6,7.05,0,1.5,1.105966667,0.1521,174.8,0.9,1281,14.28,53,83,58,30,R,23,64,37
586012,19,22.66666667,29,18.33333333,15.5,59.33333333,55.5,0,0,18.33333333,76.5,-242.7,0.806666667,5.9,7.35,0,1.4,1.028266667,0.45175,175.2,1.1,1352,18.54,85,20,44,94,CO,8,92,65
586013,28,42.66666667,63.5,6,3,51,34.5,0,0,18.66666667,75,-235.9,0.85,6.3,7.3,0,2,0.844,0.03745,117,1.066666667,1326,17.18,73,21,54,84,C,34,10,28
586014,6,22.66666667,21,18.66666667,26,58.66666667,53,0.666666667,1,18,73,-241.8,0.816666667,5.833333333,6.8,0,0.7,0.942666667,0.5701,200,1.133333333,1364,18.36,4,62,0,12,A,16,15,78
586015,9,26,54,10.33333333,8,64,37.5,1,1,16.33333333,77,-217.2,1.383333333,5.833333333,6.45,0,0.6,0.862666667,0.0906,200,0.9,1314,13.44,41,14,15,60,R,14,54,9
586016,13,33.33333333,51.5,11,8.5,55.66666667,40,0.333333333,0.5,16.33333333,79,-232.3,1.123333333,6.133333333,7.4,0,2.5,0.6631,0.17435,150.4,0.9,1347,16.46,40,6,4,77,CO,63,60,38
587001,10,16,19.5,54.66666667,60,29.33333333,20.5,2,2.5,12.33333333,51.5,-257.9,0.66,6.566666667,7.2,0,0,3.138233333,1.03,200,1.133333333,1341,21.58,93,42,3,19,C,17,70,61
587002,13,2.333333333,2.5,57,91,7,6,0,0,6,22.5,-257.7,2.01,6.066666667,6.5,0,0,3.398,2.17075,200,0.9,1363,21.54,55,41,16,28,A,95,56,26
587003,12,10,24.5,38.33333333,51,18.66666667,25.5,1,1.5,12.66666667,58.5,-259.8,0.83,6.4,7,0,0.1,2.598433333,0.4944,200,1.066666667,1371,21.96,16,71,99,53,R,72,47,17
587004,13,20,20,40,40,40,40,8.666666667,10,17.33333333,66.5,-262.3,0.226666667,7.066666667,7.6,0,0,1.65,0.3,200,1.366666667,1379,22.46,27,11,15,19,CO,63,96,84
587005,14,2.333333333,2.5,57,91,7,6,0,0,6,22.5,-257.1,2.01,6.066666667,6.5,0,0,3.398,2.17075,200,0.9,1377,21.42,5,45,62,11,C,7,75,86
587006,4,10,28.5,40,49,16.66666667,22.5,1,1.5,11.33333333,56.5,-253,1.203333333,6.4,6.95,0,0.1,2.411566667,0.3993,200,1,1374,20.6,61,37,72,48,A,93,80,96
588001,11,41.33333333,58,11,5.5,48,37,1,0,17.66666667,71,-196.5,1.253333333,5.7,7.05,0,1.55,0.763633333,0.06515,121.4,0.966666667,1270,9.3,21,16,49,96,R,33,5,2
588002,27,19.33333333,33,24.33333333,39.5,23.33333333,27.5,4.333333333,6,13.66666667,51.5,-160.7,1.456666667,5.2,4.95,0,0,2.272666667,0.72585,200,0.9,1220,2.14,17,62,62,35,CO,39,72,80
588003,28,38.66666667,63,6.666666667,2.5,54.33333333,35,0,0,18.33333333,76,-214.9,0.966666667,6.233333333,7.35,0,2.55,0.7749,0.0409,117,1,1292,12.98,7,43,67,74,C,57,20,95
588004,16,41.66666667,55.5,13,6.5,45.66666667,38.5,0.666666667,0.5,19.66666667,81,-240.3,0.473333333,5.133333333,6.8,0,1.7,0.6973,0.0242,159.8,1.133333333,1329,18.06,27,76,51,70,A,21,15,5
588005,26,24.33333333,47,20.66666667,17,55.33333333,37,3.666666667,2,19.33333333,77,-216.1,0.406666667,5.633333333,6.65,0,1.25,1.005433333,0.06725,114.5,1.233333333,1254,13.22,60,96,13,7,R,98,58,82
588006,6,26.66666667,52,11.66666667,10,61.66666667,38,2,1,16.66666667,70,-193.6,1.31,5.966666667,7.1,0,1.8,1.000366667,0.0965,118.8,0.933333333,1247,8.72,41,3,70,82,CO,96,68,57
588007,15,28,28,40,40,32,32,5.333333333,6,18.66666667,67.5,-261.2,0.136666667,7,7.2,0,0,0.5,0.14,200,1.433333333,1375,22.24,79,90,17,39,C,29,17,43
588008,15,29,28.5,42,43.5,29.33333333,28,5,5,18.33333333,65,-255.6,0.16,6.933333333,6.95,0,0,0.423333333,0.18665,200,1.466666667,1347,21.12,18,89,95,53,A,98,47,3
588009,24,34.33333333,55,11.66666667,4.5,54,41,0,0,19.33333333,82,-249.9,0.406666667,6.166666667,7.45,0,2.25,0.761666667,0.03575,138,1.133333333,1337,19.98,16,72,83,49,R,97,78,74
588010,18,50.33333333,72,8.333333333,1.5,42,26,0,0,19,82,-247,0.41,5.533333333,6.85,0,1.1,0.459466667,0.03025,162.2,1.133333333,1312,19.4,84,68,96,42,CO,8,54,51
588011,9,17.66666667,25.5,31,28.5,51.66666667,46,0,0,14,62.5,-258.3,1.65,6,7.15,0,0.35,1.173766667,0.3814,200,0.9,1352,21.66,27,35,51,57,C,98,40,3
588012,11,17.66666667,25.5,31,28.5,51.66666667,46,0,0,14,62.5,-241.4,1.65,6,7.15,0,0.35,1.173766667,0.3814,200,0.9,1332,18.28,74,79,7,75,A,32,3,77
588013,7,28.33333333,41,13.66666667,10,58.66666667,48.5,0,0,20.33333333,82,-237.3,0.38,6.033333333,7.35,0,1.7,1.011333333,0.2853,141.8,1.166666667,1328,17.46,53,91,55,54,R,47,83,74
588014,13,32.66666667,53.5,11,7,56.66666667,40.5,0,0,19.66666667,80,-229.3,0.303333333,6,7.3,0,2.35,0.866666667,0.17015,117,1.2,1313,15.86,32,67,9,86,CO,39,54,77
589001,30,24,22,50.33333333,57.5,26.33333333,21.5,3,3,15,54,-250.6,0.4,6.633333333,6.95,0,0,1.716666667,0.53335,200,1.266666667,1378,20.12,36,45,77,45,C,97,28,78
589002,17,15.66666667,19,30.33333333,31.5,54.66666667,50,0,0,15.33333333,65,-234.5,1.186666667,5.8,7.1,0,0.8,1.137766667,0.5645,200,1,1343,16.9,85,23,52,45,A,74,44,3
589003,5,14,19.5,43,47,43,33.5,0.333333333,1,13.66666667,63.5,-243.4,1.066666667,6.2,7.1,0,0.2,2.351566667,0.61185,200,1.033333333,1359,18.68,31,50,23,34,R,39,8,18
589004,24,2.333333333,2.5,57,91,7,6,0,0,5.333333333,22,-234.3,2.913333333,5.633333333,6.05,0,0,3.464666667,1.62935,200,0.666666667,1342,16.86,68,91,9,52,CO,70,17,55
589005,14,10,20,40.33333333,53.5,17,27,0.333333333,1,10.66666667,54,-231.9,1.993333333,6.433333333,7.05,0,0,2.410233333,0.51175,200,0.733333333,1337,16.38,50,84,0,3,C,88,24,77
590001,25,20.66666667,46,20,16.5,58.66666667,38.5,3,2,16.33333333,69.5,-203.6,1.296666667,5.733333333,6.65,0,1.05,1.016366667,0.1145,143.6,0.966666667,1249,10.72,67,36,68,97,A,17,49,9
590002,10,22,48,10,15.5,34.66666667,37,5,7,15.66666667,68.5,-191.3,1.506666667,5.466666667,5.25,0,0,1.426666667,0.09895,200,0.866666667,1210,8.26,79,36,90,2,R,46,89,58
590003,8,21.66666667,49,15,13.5,63.33333333,38,4.666666667,4,17.33333333,76.5,-197.1,0.833333333,5.766666667,6.65,0,1.2,1.226366667,0.0879,111.8,1.033333333,1227,9.42,53,65,81,83,CO,41,48,89
590004,19,30.33333333,47,18.66666667,15,51.33333333,38,2.666666667,2,16.33333333,67.5,-197.4,1.823333333,5.866666667,6.85,0,2.2,1.284566667,0.07005,96,0.833333333,1220,9.48,77,94,99,32,C,3,18,15
590005,22,23,38,21,20,55.33333333,43,11.66666667,10,15.66666667,74.5,-209.6,1.233333333,5.733333333,5.3,0,0,1.5628,0.198,200,1,1264,11.92,28,34,80,30,A,34,4,72
590006,30,27,41.5,24.66666667,19.5,48.33333333,39,10,7,18,77.5,-209.3,0.73,5.533333333,5.4,0,0.2,1.5208,0.1454,166.05,1.133333333,1272,11.86,91,93,95,45,R,44,68,18
591019,28,26.33333333,47,14.66666667,15,59,38.5,4,3,18.33333333,72.5,-201.9,0.53,5.433333333,6.25,0,1.4,0.975033333,0.0888,132.88,1.133333333,1183,10.38,66,28,58,22,CO,72,54,19
591020,22,39.66666667,59.5,13,3.5,47.33333333,37,2.333333333,3,17.66666667,67,-224.5,0.396666667,5.766666667,7.05,0,1.4,0.588966667,0.1541,143.32,1.233333333,1280,14.9,92,97,93,83,C,32,52,86
591021,14,26.33333333,45.5,14,15.5,60,39.5,1.666666667,1,8.666666667,41.5,-192.9,3.626666667,5.3,5.9,0,0.5,2.122833333,0.1982,171.8,0.4,1172,8.58,96,12,10,95,A,59,57,70
591024,9,29.66666667,47,19,17.5,51.66666667,35.5,3.666666667,2,19.66666667,75,-204.4,0.313333333,5.6,6.6,0,1.5,0.868,0.0462,92.1,1.233333333,1162,10.88,93,15,66,63,R,55,0,99
591026,7,26,26.5,44.66666667,45,29.33333333,28,12,16,15,54.5,-237.2,0.37,6.833333333,7.05,0,0,0.610766667,0.37965,195.74,1.3,1295,17.44,48,81,6,59,CO,1,36,6
591027,21,40.66666667,57,11.66666667,11,47.33333333,32.5,1.666666667,1,18.66666667,78.5,-221.9,0.403333333,5.566666667,6.75,0,1.55,0.588633333,0.03205,118.2,1.166666667,1178,14.38,0,42,22,92,C,31,34,92
591033,15,47.33333333,68.5,8.333333333,1.5,44,29.5,0,0,17.66666667,75.5,-232.3,0.93,5.533333333,6.75,0,1.15,0.511733333,0.0519,162.2,1.033333333,1237,16.46,18,92,41,92,A,70,44,15
591040,7,40.66666667,58.5,11,3,49,39,0,0,17.33333333,70,-227.3,0.416666667,5.833333333,7.15,0,1.25,0.8146,0.08205,138.38,1.166666667,1284,15.46,32,9,84,69,R,87,26,80
591043,1,43.33333333,62.5,12,4.5,45,33,2.333333333,3,18,74.5,-225.8,0.43,5.733333333,7,0,1.45,0.514133333,0.0734,143.7,1.133333333,1277,15.16,19,60,72,43,CO,57,11,82
591044,22,20.33333333,41,33,21,47,38,1,1.5,18.33333333,59,-206.6,0.573333333,6,6.45,0,0,1.2445,0.1857,200,1.266666667,1235,11.32,46,75,35,53,C,80,9,54
591047,2,36.33333333,55,15.66666667,4,48,41.5,0,0,19.66666667,86,-240.8,0.343333333,5.6,7.15,0,0.8,0.6869,0.03935,162.2,1.2,1308,18.16,80,48,94,24,A,85,90,67
591049,30,14.66666667,17,42.33333333,51.5,43.33333333,32,0,0,11.66666667,48,-224.3,1.346666667,5.933333333,6.7,0,0.2,2.305333333,1.40465,200,1,1270,14.86,60,1,4,67,R,64,24,45
592001,12,21.33333333,43,23.33333333,15.5,55.66666667,41.5,1.666666667,1,13,61,-185.6,2.61,6,7.05,0,1.7,1.3839,0.19795,129.5,0.6,1218,7.12,7,24,82,94,CO,24,61,82
592002,24,36,48.5,13.66666667,14,50.33333333,37,2.666666667,1.5,18.66666667,77.5,-208.3,1.03,5.566666667,6.75,0,2.45,1.209133333,0.0559,89.3,1,1285,11.66,82,32,24,91,C,81,77,18
592003,21,27.66666667,49,10.66666667,11.5,61.66666667,40.5,2.333333333,1,17.33333333,73,-191,1.58,5.7,6.85,0,2.35,1.2241,0.06375,115.4,0.866666667,1309,8.2,91,10,52,38,A,47,60,10
592004,18,39.66666667,60,10.33333333,4.5,50,35.5,1,0,20.33333333,83.5,-198.4,0.36,5.3,6.7,0,1.45,0.697266667,0.0444,149.6,1.166666667,1313,9.68,22,33,47,94,R,54,12,46
592005,5,12.33333333,12,39.33333333,48,48.33333333,39.5,0,0,13,50.5,-187,1.256666667,5.733333333,6.85,0,0.55,1.915333333,1.3121,200,1.033333333,1283,7.4,84,72,47,26,CO,40,37,38
592006,28,33.66666667,50,11.33333333,12.5,55,38,2,1,17.66666667,71,-177.7,1.09,5.466666667,6.35,0,1.3,0.721266667,0.07785,159.8,1.033333333,1319,5.54,44,94,73,94,C,88,70,42
592007,12,32.33333333,50.5,10.33333333,11,57.66666667,39,2,1,18,72.5,-190.7,1.083333333,5.5,6.35,0,1.15,0.747666667,0.07935,173.2,1.033333333,1350,8.14,81,45,69,65,A,62,58,19
592008,15,20,25.5,22.66666667,25,57.66666667,49.5,0,0,18,79,-186.1,1.313333333,6.4,6.7,0,0,1.552266667,0.50955,200,0.966666667,1316,7.22,58,42,95,33,R,82,84,1
592009,11,38.33333333,51,15.33333333,12,46.33333333,36.5,1.666666667,0.5,19.33333333,76,-169.3,0.843333333,5.566666667,7.05,0,3.25,0.899566667,0.05365,68.3,1.133333333,1330,3.86,27,85,53,50,CO,19,78,37
592010,14,16.33333333,25,23.66666667,25,59.66666667,50.5,0,0,17,74.5,-165.3,1.6,6.433333333,6.7,0,0,1.627133333,0.4826,200,0.9,1288,3.06,35,62,20,59,C,82,50,41
592011,24,25.33333333,47,3.666666667,14,38,39,0.333333333,0.5,9.666666667,48.5,-172.3,3.58,5.033333333,5.6,0,0.6,2.678433333,0.2672,200,0.466666667,1339,4.46,30,46,12,11,A,34,92,9
593001,21,48,68.5,9,1,43.33333333,31,0,0,19.33333333,83,-233.6,0.43,5.633333333,6.85,0,0.85,0.4219,0.0273,200,1.133333333,1318,16.72,95,8,47,68,R,15,47,71
593002,1,45,64.5,10.66666667,2,44.66666667,33.5,0,0,20,83.5,-228.4,0.286666667,5.633333333,6.9,0,0.95,0.4404,0.02715,176,1.233333333,1344,15.68,8,94,48,58,CO,13,69,43
593003,2,37,50.5,12.33333333,13.5,50.33333333,35.5,2,1,20,78.5,-202.6,0.266666667,5.333333333,6.45,0,1.85,0.6309,0.03715,103.85,1.233333333,1290,10.52,54,56,36,53,C,15,84,46
593004,29,25.33333333,43.5,27.66666667,19.5,47.33333333,37,4,3,20.33333333,79.5,-203.5,0.293333333,5.266666667,5.7,0,0.45,1.096833333,0.0706,180.6,1.3,1315,10.7,89,36,3,70,A,43,47,40
593005,21,30,46.5,17.66666667,16,52,37.5,2.333333333,2,18.33333333,78,-205.1,0.383333333,5.466666667,6.2,0,1.2,1.147733333,0.09475,146.4,1.166666667,1319,11.02,43,50,58,73,R,30,69,95
594001,9,27.66666667,42,20.66666667,24.5,52,33,6.333333333,10,17.33333333,69,-231.2,0.653333333,5.533333333,6.45,0,0.95,1.017866667,0.4311,173.2,1.133333333,1255,16.24,79,59,31,59,CO,81,31,46
594002,5,32.33333333,50,11.66666667,12,56,38,2.666666667,2,19.66666667,80,-211.1,0.4,5.333333333,6.2,0,1.3,0.8326,0.05205,159.8,1.2,1238,12.22,95,53,14,99,C,78,90,8
594003,23,32.66666667,50,12.66666667,13,55,37.5,3.333333333,3,19,78.5,-209,0.626666667,5.4,6.05,0,1.05,1.0088,0.0634,159.8,1.1,1231,11.8,73,42,77,25,A,37,82,79
594004,27,30.66666667,51,10.33333333,10,59.66666667,39,2,1,20.66666667,83,-199.4,0.226666667,5.3,6.25,0,1.3,0.742533333,0.0486,179.9,1.233333333,1252,9.88,35,81,23,73,R,6,78,95
594005,2,16,45.5,17.66666667,17.5,33,37,2.333333333,2.5,16.33333333,78,-184,1.376666667,5.8,6.8,0,1.35,1.816933333,0.125,115.4,0.933333333,1202,6.8,74,97,53,55,CO,79,78,39
595001,6,50.33333333,72,8.333333333,1.5,42,26,0,0,19,82,-222.2,0.41,5.533333333,6.85,0,1.1,0.459466667,0.03025,162.2,1.133333333,1347,14.44,70,51,77,20,C,6,94,2
595002,21,29,28.5,42,43.5,29.33333333,28,5,5,18.33333333,65,-226.3,0.16,6.933333333,6.95,0,0,0.423333333,0.18665,200,1.466666667,1407,15.26,19,61,44,22,A,53,94,96
595003,18,43,60,11.33333333,5.5,46,34.5,0,0,19,81,-218.2,0.396666667,5.5,6.95,0,1.4,0.456833333,0.1618,162.2,1.166666667,1390,13.64,53,51,36,80,R,34,80,57
596001,13,29,28.5,42,43.5,29.33333333,28,5,5,18.33333333,65,-253.5,0.16,6.933333333,6.95,0,0,0.423333333,0.18665,200,1.466666667,1391,20.7,70,12,63,89,CO,1,92,62
596002,2,20.66666667,35.5,21.66666667,11.5,57.66666667,53.5,0,0,19.66666667,85.5,-247.2,0.266666667,5.766666667,7.15,0,0.35,0.896666667,0.2742,200,1.233333333,1361,19.44,24,33,95,64,C,69,81,76
596003,25,20.66666667,35.5,21.66666667,11.5,57.66666667,53.5,0,0,19.66666667,85.5,-239.6,0.266666667,5.766666667,7.15,0,0.35,0.896666667,0.2742,200,1.233333333,1383,17.92,79,31,72,13,A,68,83,90
596004,22,18,25,23,17,58.66666667,58,0,0,19.66666667,82,-236,0.226666667,5.633333333,7.3,0,0.65,0.895333333,0.48895,200,1.266666667,1379,17.2,99,80,8,26,R,3,49,17
596005,23,22.66666667,33.5,22,15.5,56,51,0,0,18,78.5,-239.8,0.686666667,5.966666667,7.1,0,0.8,1.000233333,0.34095,187.6,1.133333333,1390,17.96,38,82,86,19,CO,90,5,38
596006,18,39.66666667,56,13,1,48,43,0,0,20.66666667,88,-238.3,0.313333333,5.4,7.05,0,1.7,0.6143,0.0291,124.4,1.2,1374,17.66,31,15,64,57,C,76,100,43
596007,20,26.33333333,25.5,46,50.5,28,24.5,4,4,16.66666667,59,-246.7,0.28,6.8,6.95,0,0,1.07,0.36,200,1.333333333,1436,19.34,99,94,75,62,A,28,1,95
596008,26,15,21,43,48.5,42.66666667,31,0.333333333,1,13.33333333,57.5,-235.2,1.48,6.266666667,7.15,0,0.2,1.762666667,0.43035,200,0.966666667,1401,17.04,32,7,6,56,R,51,44,64
596009,23,5.666666667,11,50,76.5,10.66666667,12.5,0.333333333,0,8.333333333,34,-225.9,2.01,6.2,6.7,0,0,2.776666667,1.3882,200,0.866666667,1387,15.18,51,99,39,29,CO,56,62,68
596010,10,8.333333333,16,45.33333333,66.5,13.33333333,17,0.333333333,1,9.333333333,42.5,-227.1,2.013333333,6.333333333,6.95,0,0,2.362466667,0.86745,200,0.833333333,1403,15.42,72,30,81,36,C,70,2,4
597001,28,29,28.5,42,43.5,29.33333333,28,5,5,18.33333333,65,-224.8,0.16,6.933333333,6.95,0,0,0.423333333,0.18665,200,1.466666667,1379,14.96,44,32,16,99,A,50,1,28
597002,23,13.33333333,39.5,22,25,31,35.5,4,5,15.33333333,76.5,-197.1,0.896666667,5.5,5.4,0,0.05,2.1331,0.10665,200,1.033333333,1299,9.42,64,1,42,17,R,52,93,85
597003,16,31.33333333,47.5,13.66666667,15,54.66666667,37.5,2,1,20,81.5,-199.3,0.346666667,5.566666667,6.6,0.066666667,2.1,0.796766667,0.0607,132.5,1.2,1342,9.86,85,100,80,65,CO,18,54,84
597004,1,14.66666667,26.5,33.66666667,25,51.66666667,48.5,1,1,15.66666667,77.5,-194.5,0.696666667,5.866666667,6.85,0,0.45,1.5289,0.5358,200,1.133333333,1340,8.9,45,33,60,67,C,37,68,52
597005,10,23.66666667,50,12,11,64.66666667,39,2.333333333,1,19.66666667,81.5,-190.1,0.51,5.566666667,6.65,0,1.25,1.0185,0.0783,157.7,1.133333333,1323,8.02,70,18,38,80,A,16,39,59
598001,2,31.33333333,49.5,14,14.5,54.33333333,36.5,3.333333333,1.5,19.66666667,76.5,-190.6,0.29,5.633333333,7,0.266666667,3.25,0.702266667,0.0463,70.8,1.2,1213,8.12,41,28,43,75,R,45,70,16
598002,26,36.66666667,54.5,18.66666667,14,44.66666667,32,3.333333333,1.5,19.66666667,76.5,-187.9,0.41,5.9,7,0.5,3.8,0.7522,0.028,83.4,1.233333333,1235,7.58,84,37,89,9,CO,96,81,50
598003,5,28,41,28,23.5,44,35.5,4,4,20,78,-180.8,0.153333333,4.966666667,5.6,0,0.7,0.743466667,0.079,159.8,1.3,1212,6.16,55,59,28,100,C,94,56,30
598004,15,34,47,17.33333333,15.5,48.33333333,38.5,2.666666667,1.5,19.66666667,79,-201.4,0.326666667,5.533333333,6.5,0,1.3,0.773833333,0.0491,113.6,1.233333333,1249,10.28,41,43,4,93,A,10,11,97
598005,18,28.33333333,48.5,16.33333333,14.5,55.33333333,37.5,3.666666667,2,19.66666667,76,-215.8,0.493333333,5.8,6.95,0,1.9,0.783066667,0.03925,100.4,1.166666667,1264,13.16,91,18,12,48,R,7,82,31
599001,13,42.33333333,58,12,9,46.33333333,33,2,1,19.33333333,80.5,-201.2,0.49,5.9,7,0.266666667,3.35,0.592666667,0.02695,76.3,1.133333333,1294,10.24,39,85,75,86,CO,96,56,36
599002,9,39.33333333,63.5,13,7.5,48,30,1,1,18.33333333,79.5,-197.1,0.813333333,5.866666667,7.3,0.066666667,3,0.729766667,0.026,81.8,1.066666667,1295,9.42,18,78,87,9,C,7,37,100
599003,26,13.33333333,27,31.66666667,23.5,55,50,0.666666667,0,15.66666667,83.5,-214,0.776666667,6.133333333,7.35,0,0.9,2.1611,0.65845,200,1.1,1342,12.8,22,71,50,73,A,68,40,21
600001,11,26.33333333,25.5,46,50.5,28,24.5,4,4,16.66666667,59,-218.5,0.28,6.8,6.95,0,0,1.07,0.36,200,1.333333333,1348,13.7,87,3,26,19,R,16,47,74
600002,7,14,15,33,37,53.33333333,48,0,0,14,59.5,-214.9,1.396666667,5.9,7.05,0,0.45,1.789333333,0.9989,200,0.933333333,1286,12.98,61,3,27,86,CO,94,7,89
600003,13,4.666666667,8.5,52.33333333,81.5,9.333333333,10,0,0,7.333333333,29,-218.1,2.073333333,5.9,6.35,0,0,3.3511,1.6555,200,0.866666667,1346,13.62,68,69,85,61,C,91,2,34
600004,7,20.66666667,45.5,31,21.5,48.33333333,33,2.666666667,1.5,16,74,-205.8,0.836666667,5.733333333,6.25,0,0.45,1.233566667,0.17595,200,1.133333333,1293,11.16,52,19,80,50,A,45,72,92
600005,15,4.666666667,8.5,52.33333333,81.5,9.333333333,10,0,0,7.333333333,29,-205.2,2.073333333,5.9,6.35,0,0,3.3511,1.6555,200,0.866666667,1343,11.04,40,15,47,80,R,32,2,26
601001,16,14.33333333,38,23,31.5,29.66666667,30,5.333333333,10.5,14.66666667,71.5,-154.7,1.8,5.133333333,5.05,0,0,1.8062,0.25525,200,0.866666667,1189,0.94,73,21,83,76,CO,6,51,5
601002,1,13.66666667,23,28,48.5,25,28,3,6.5,16.66666667,62,-146.3,1.393333333,5.166666667,6.2,0,0,1.557333333,0.32765,200,1.033333333,1183,0,58,3,85,78,C,23,65,16
601003,12,13.66666667,24,28,48,25,28,2.333333333,5.5,13,53,-129.2,2.11,4.9,5.95,0,0,2.390666667,0.32765,200,0.8,1130,0,27,69,77,45,A,3,93,67
601004,24,16.33333333,29.5,40.33333333,38,43.33333333,32.5,4,8.5,12.66666667,69.5,-153.5,1.856666667,5.166666667,5.55,0,0,2.9529,0.30955,200,0.8,1159,0.7,97,10,33,57,R,9,28,90
601005,11,13.66666667,24.5,28,47,25,28,2.333333333,6.5,12,53,-169.7,2.373333333,5,6.1,0,0,2.569333333,0.3415,200,0.733333333,1182,3.94,65,88,68,24,CO,4,27,10
601006,28,6.333333333,13.5,46,72,14.33333333,15,7.666666667,24,8.333333333,27.5,-158.5,1.756666667,4.9,5.9,0,0,3.242233333,1.71835,200,0.8,1158,1.7,35,45,86,77,C,47,35,69
601007,12,13.33333333,26,27.66666667,44.5,26,30,2.333333333,4,14.33333333,58,-138.7,1.683333333,4.9,5.8,0,0,2.126666667,0.278,200,0.933333333,1125,0,74,66,26,21,A,48,24,14
