"slc","region","ps","lt","cf","surface","subsurface","pattern","inundationPeriod","usableGrowingSeasonLength","frequency","points","class"
376,1,52,"complex",31,0,0,0,1,1,1,10.8312130759119,"6T"
377,2,8,"simple",28,0,0,0,1,1,1,52.2050545899751,"3T"
378,1,39,"complex",78,0,0,0,1,1,1,12.1982357855798,"6T"
379,2,56,"simple",98,0,0,0,1,1,1,8.12433526909726,"7T"
380,2,17,"complex",22,0,0,0,1,1,1,34.5314509240306,"4T"
381,1,51,"simple",99,0,0,0,1,1,1,9.12728480663065,"7T"
382,2,22,"complex",45,0,0,0,1,1,1,23.8976424841271,"5T"
383,1,76,"simple",35,0,0,0,1,1,1,6.39592874820027,"7T"
384,2,11,"complex",79,0,0,0,1,1,1,35.0335794503949,"4TP"
385,2,45,"simple",16,0,0,0,1,1,1,14.4095275437062,"6T"
386,2,36,"complex",68,0,0,0,1,1,1,13.5306547507769,"6T"
387,2,7,"simple",53,0,0,0,1,1,1,47.3702397583829,"3TP"
388,1,99,"complex",99,0,0,0,1,1,1,3.57534273663597,"7T"
389,2,79,"simple",2,0,0,0,1,1,1,7.34479496781387,"7T"
390,2,72,"complex",36,0,0,0,1,1,1,6.85999051728337,"7T"
391,1,57,"simple",51,0,0,0,1,1,1,8.54545744110291,"7T"
392,2,21,"complex",63,0,0,0,1,1,1,22.8596806729075,"5T"
393,1,54,"simple",32,0,0,0,1,1,1,10.2720083778737,"6T"
394,1,38,"complex",70,0,0,0,1,1,1,12.7145591402953,"6T"
395,1,93,"simple",93,0,0,0,1,1,1,3.92586012790106,"7T"
396,2,0,"complex",69,0,0,0,1,1,1,69.7685715577,"2P"
397,2,7,"simple",4,0,0,0,1,1,1,63.9965410526274,"2T"
398,2,72,"complex",50,0,0,0,1,1,1,6.30610802781006,"7T"
399,1,22,"simple",41,0,0,0,1,1,1,24.4810508053659,"5T"
400,2,44,"complex",54,0,0,0,1,1,1,11.4555811012156,"6T"
401,1,1,"simple",62,0,0,0,1,1,1,67.0325231851711,"2P"
402,2,87,"complex",72,0,0,0,1,1,1,4.39571703918588,"7T"
403,1,95,"simple",49,0,0,0,1,1,1,4.1566166422161,"7T"
404,2,88,"complex",60,0,0,0,1,1,1,4.47331982228688,"7T"
405,1,59,"simple",47,0,0,0,1,1,1,8.35773844235182,"7T"
406,1,22,"complex",7,0,0,0,1,1,1,30.9383201725717,"4T"
407,1,6,"simple",74,0,0,0,1,1,1,46.9382687932073,"3TP"
408,1,33,"complex",100,0,0,0,1,1,1,14.7808552727364,"6T"
409,1,5,"simple",4,0,0,0,1,1,1,72.3418717998416,"2T"
410,2,65,"complex",57,0,0,0,1,1,1,7.01306681340609,"7T"
411,2,20,"simple",58,0,0,0,1,1,1,24.2622792108076,"5T"
412,2,0,"complex",75,0,0,0,1,1,1,68.9285715625,"2P"
413,1,54,"simple",59,0,0,0,1,1,1,8.81051538572833,"7T"
414,1,57,"complex",32,0,0,0,1,1,1,9.60657691715273,"7T"
415,2,21,"simple",19,0,0,0,1,1,1,29.8600382537352,"5T"
416,1,19,"complex",37,0,0,0,1,1,1,28.3780117408721,"5T"
417,2,86,"simple",35,0,0,0,1,1,1,5.31560724364537,"7T"
418,2,89,"complex",97,0,0,0,1,1,1,4.24509809504398,"7T"
419,2,82,"simple",80,0,0,0,1,1,1,4.76207456017015,"7T"
420,1,43,"complex",9,0,0,0,1,1,1,15.9573870532526,"6T"
421,2,23,"simple",97,0,0,0,1,1,1,20.6487193406824,"5T"
422,2,75,"complex",13,0,0,0,1,1,1,7.71873493442704,"7T"
423,1,22,"simple",60,0,0,0,1,1,1,22.2137139210325,"5T"
424,1,59,"complex",7,0,0,0,1,1,1,10.9439502072215,"6T"
425,1,15,"simple",20,0,0,0,1,1,1,38.45834163457,"4T"
426,2,97,"complex",12,0,0,0,1,1,1,5.22105416722832,"7T"
427,2,19,"simple",19,0,0,0,1,1,1,32.4221704748459,"4T"
428,2,56,"complex",42,0,0,0,1,1,1,9.19012838060479,"7T"
429,2,61,"simple",23,0,0,0,1,1,1,9.42473380466717,"7T"
430,1,70,"complex",22,0,0,0,1,1,1,7.90545558763529,"7T"
431,1,19,"simple",72,0,0,0,1,1,1,24.2190188726009,"5T"
432,1,71,"complex",78,0,0,0,1,1,1,5.87584884898499,"7T"
433,2,73,"simple",99,0,0,0,1,1,1,5.73561017855897,"7T"
434,1,89,"complex",44,0,0,0,1,1,1,4.75477562934193,"7T"
435,2,60,"simple",4,0,0,0,1,1,1,10.7115987884109,"6T"
436,2,13,"complex",35,0,0,0,1,1,1,37.9087536372195,"4T"
437,2,36,"simple",3,0,0,0,1,1,1,19.3437184629134,"6T"
438,1,53,"complex",20,0,0,0,1,1,1,11.5078830712325,"6T"
439,2,73,"simple",5,0,0,0,1,1,1,8.23102037139915,"7T"
440,2,92,"complex",23,0,0,0,1,1,1,5.21422034244458,"7T"
441,2,2,"simple",0,0,0,0,1,1,1,87.9193770858312,"1"
442,2,44,"complex",17,0,0,0,1,1,1,14.6611356018952,"6T"
443,2,25,"simple",23,0,0,0,1,1,1,24.8339094441439,"5T"
444,2,31,"complex",30,0,0,0,1,1,1,19.2055442864059,"6T"
445,1,38,"simple",6,0,0,0,1,1,1,18.2680447076822,"6T"
446,2,71,"complex",98,0,0,0,1,1,1,5.94919915962528,"7T"
447,2,21,"simple",99,0,0,0,1,1,1,22.4292855978788,"5T"
448,1,15,"complex",78,0,0,0,1,1,1,28.6939108188558,"5T"
449,1,85,"simple",5,0,0,0,1,1,1,6.57692472710312,"7T"
450,2,21,"complex",2,0,0,0,1,1,1,32.1876663379612,"4T"
451,2,93,"simple",87,0,0,0,1,1,1,3.9033866264746,"7T"
452,1,97,"complex",2,0,0,0,1,1,1,5.31304575777926,"7T"
453,2,50,"simple",44,0,0,0,1,1,1,10.4200274556008,"6T"
454,2,68,"complex",97,0,0,0,1,1,1,6.29923646140789,"7T"
455,2,34,"simple",79,0,0,0,1,1,1,14.079095615792,"6T"
456,2,6,"complex",55,0,0,0,1,1,1,49.8539425643577,"3TP"
457,1,17,"simple",36,0,0,0,1,1,1,31.1615194090884,"4T"
458,1,24,"complex",61,0,0,0,1,1,1,20.5045128913452,"5T"
459,2,27,"simple",37,0,0,0,1,1,1,20.8965503141595,"5T"
460,1,31,"complex",37,0,0,0,1,1,1,18.29096391381,"6T"
461,1,47,"simple",60,0,0,0,1,1,1,10.3537145033428,"6T"
462,1,48,"complex",88,0,0,0,1,1,1,9.64171346815379,"7T"
463,2,24,"simple",38,0,0,0,1,1,1,23.1229641541558,"5T"
464,1,12,"complex",49,0,0,0,1,1,1,36.6103456553461,"4T"
465,2,90,"simple",88,0,0,0,1,1,1,4.11897176632835,"7T"
466,2,50,"complex",84,0,0,0,1,1,1,9.17854445333964,"7T"
467,1,89,"simple",8,0,0,0,1,1,1,6.11962737430838,"7T"
468,2,8,"complex",23,0,0,0,1,1,1,54.2307113794863,"3T"
469,2,80,"simple",20,0,0,0,1,1,1,6.63458832821783,"7T"
470,2,97,"complex",52,0,0,0,1,1,1,3.9519952417849,"7T"
471,2,10,"simple",56,0,0,0,1,1,1,39.3493058415157,"4T"
472,1,12,"complex",66,0,0,0,1,1,1,34.091558318859,"4T"
473,1,59,"simple",99,0,0,0,1,1,1,7.62605720431624,"7T"
474,2,93,"complex",16,0,0,0,1,1,1,5.41806804013278,"7T"
475,2,87,"simple",65,0,0,0,1,1,1,4.47564246183392,"7T"
476,2,28,"complex",25,0,0,0,1,1,1,22.0067083970299,"5T"
477,2,37,"simple",22,0,0,0,1,1,1,17.0238077554934,"6T"
478,2,29,"complex",42,0,0,0,1,1,1,18.9082523088499,"6T"
479,1,13,"simple",99,0,0,0,1,1,1,32.0970870830269,"4T"
480,2,96,"complex",51,0,0,0,1,1,1,4.0420056834212,"7T"
481,2,75,"simple",49,0,0,0,1,1,1,5.98339441006664,"7T"
482,2,2,"complex",12,0,0,0,1,1,1,86.3971158994803,"1"
483,2,40,"simple",1,0,0,0,1,1,1,17.2842876518244,"6T"
484,1,32,"complex",8,0,0,0,1,1,1,21.8253147328597,"5T"
485,2,14,"simple",48,0,0,0,1,1,1,33.2977034127286,"4T"
486,2,34,"complex",90,0,0,0,1,1,1,14.0855461166654,"6T"
487,1,33,"simple",83,0,0,0,1,1,1,14.4828200311857,"6T"
488,1,63,"complex",74,0,0,0,1,1,1,6.94217597548909,"7T"
489,2,0,"simple",79,0,0,0,1,1,1,68.5971429937,"2P"
490,1,7,"complex",63,0,0,0,1,1,1,45.4503435344837,"3TP"
491,1,94,"simple",36,0,0,0,1,1,1,4.57773749792288,"7T"
492,1,2,"complex",32,0,0,0,1,1,1,73.8874445704546,"2"
493,1,79,"simple",9,0,0,0,1,1,1,7.34479496781387,"7T"
494,2,46,"complex",54,0,0,0,1,1,1,10.8900069165133,"6T"
495,1,3,"simple",61,0,0,0,1,1,1,58.8503857179724,"3TP"
496,2,80,"complex",13,0,0,0,1,1,1,7.02533076885169,"7T"
497,1,55,"simple",2,0,0,0,1,1,1,11.9501234790323,"6T"
498,2,34,"complex",58,0,0,0,1,1,1,14.8549148239839,"6T"
499,1,83,"simple",80,0,0,0,1,1,1,4.67545682584209,"7T"
500,2,26,"complex",61,0,0,0,1,1,1,19.0664224420481,"6T"
501,1,68,"simple",37,0,0,0,1,1,1,7.37336796484072,"7T"
502,1,91,"complex",100,0,0,0,1,1,1,4.12528950342598,"7T"
503,1,0,"simple",71,0,0,0,1,1,1,69.4428572737,"2P"
504,2,88,"complex",88,0,0,0,1,1,1,4.26896760920145,"7T"
505,1,52,"simple",8,0,0,0,1,1,1,12.7963698673997,"6T"
506,2,44,"complex",21,0,0,0,1,1,1,14.1972965306002,"6T"
507,2,51,"simple",57,0,0,0,1,1,1,9.52023445372486,"7T"
508,2,87,"complex",94,0,0,0,1,1,1,4.37578099329853,"7T"
509,2,75,"simple",9,0,0,0,1,1,1,7.92082923179021,"7T"
510,2,1,"complex",32,0,0,0,1,1,1,79.0448458703062,"2P"
511,1,88,"simple",36,0,0,0,1,1,1,5.09278472080315,"7T"
512,1,30,"complex",96,0,0,0,1,1,1,16.1061817896811,"6T"
513,1,73,"simple",82,0,0,0,1,1,1,5.63566207366932,"7T"
514,1,43,"complex",35,0,0,0,1,1,1,13.1329295579917,"6T"
515,2,20,"simple",82,0,0,0,1,1,1,22.952047182869,"5T"
516,2,87,"complex",10,0,0,0,1,1,1,6.33966280944792,"7T"
517,1,88,"simple",2,0,0,0,1,1,1,6.23025043845485,"7T"
518,1,79,"complex",57,0,0,0,1,1,1,5.3384068424444,"7T"
519,1,29,"simple",29,0,0,0,1,1,1,20.6497295427769,"5T"
520,2,86,"complex",54,0,0,0,1,1,1,4.75811898081245,"7T"
521,2,74,"simple",41,0,0,0,1,1,1,6.38880999829982,"7T"
522,1,83,"complex",46,0,0,0,1,1,1,5.23869443071208,"7T"
523,1,69,"simple",77,0,0,0,1,1,1,6.11901918282161,"7T"
524,2,33,"complex",67,0,0,0,1,1,1,14.8407041311629,"6T"
525,2,22,"simple",87,0,0,0,1,1,1,21.1874456496327,"5T"
526,2,3,"complex",6,0,0,0,1,1,1,82.2753543695215,"1T"
527,1,52,"simple",93,0,0,0,1,1,1,8.81377397228821,"7T"
528,2,2,"complex",15,0,0,0,1,1,1,84.2644430161169,"1"
529,1,29,"simple",15,0,0,0,1,1,1,23.0445183548215,"5T"
530,2,18,"complex",40,0,0,0,1,1,1,29.0479149280759,"5T"
531,2,89,"simple",91,0,0,0,1,1,1,4.20418401482137,"7T"
532,2,82,"complex",1,0,0,0,1,1,1,6.94758688088666,"7T"
533,1,45,"simple",69,0,0,0,1,1,1,10.5760821636706,"6T"
534,2,46,"complex",97,0,0,0,1,1,1,10.2543623202688,"6T"
535,2,1,"simple",21,0,0,0,1,1,1,85.8733272918681,"1"
536,2,94,"complex",89,0,0,0,1,1,1,3.83995534167819,"7T"
537,2,10,"simple",66,0,0,0,1,1,1,37.9170219189561,"4TP"
538,2,68,"complex",64,0,0,0,1,1,1,6.42766522706734,"7T"
539,1,2,"simple",53,0,0,0,1,1,1,65.0779230167865,"2P"
540,1,97,"complex",59,0,0,0,1,1,1,3.82979518982883,"7T"
541,1,44,"simple",74,0,0,0,1,1,1,10.735830819137,"6T"
542,1,62,"complex",85,0,0,0,1,1,1,7.0274181020238,"7T"
543,2,39,"simple",7,0,0,0,1,1,1,17.7654066099374,"6T"
544,1,7,"complex",9,0,0,0,1,1,1,63.9965410526274,"2T"
545,1,84,"simple",92,0,0,0,1,1,1,4.60686540811333,"7T"
546,2,11,"complex",64,0,0,0,1,1,1,36.149856183138,"4T"
547,1,7,"simple",20,0,0,0,1,1,1,58.8951025273447,"3T"
548,1,27,"complex",44,0,0,0,1,1,1,19.9958052485115,"6T"
549,1,51,"simple",1,0,0,0,1,1,1,13.0983216850721,"6T"
550,2,75,"complex",90,0,0,0,1,1,1,5.43595195827662,"7T"
551,1,79,"simple",13,0,0,0,1,1,1,7.15739777304296,"7T"
552,1,93,"complex",46,0,0,0,1,1,1,4.37744722110734,"7T"
553,2,57,"simple",84,0,0,0,1,1,1,7.82334751245044,"7T"
554,2,1,"complex",49,0,0,0,1,1,1,71.0500673481833,"2P"
555,2,45,"simple",48,0,0,0,1,1,1,11.5128963487523,"6T"
556,2,89,"complex",69,0,0,0,1,1,1,4.26957660370894,"7T"
557,2,33,"simple",85,0,0,0,1,1,1,14.4816109634656,"6T"
558,2,70,"complex",11,0,0,0,1,1,1,8.64877387616592,"7T"
559,1,77,"simple",79,0,0,0,1,1,1,5.23106620530883,"7T"
560,1,23,"complex",0,0,0,0,1,1,1,29.7666780113221,"5T"
561,2,97,"simple",69,0,0,0,1,1,1,3.70683613140957,"7T"
562,2,42,"complex",5,0,0,0,1,1,1,16.3814452685634,"6T"
563,1,26,"simple",13,0,0,0,1,1,1,25.9755729722969,"5T"
564,1,92,"complex",22,0,0,0,1,1,1,5.25516234008292,"7T"
565,1,21,"simple",99,0,0,0,1,1,1,22.4292855978788,"5T"
566,1,66,"complex",24,0,0,0,1,1,1,8.43152196901968,"7T"
567,1,57,"simple",57,0,0,0,1,1,1,8.30834671801305,"7T"
568,1,58,"complex",66,0,0,0,1,1,1,7.86687866293983,"7T"
569,2,52,"simple",60,0,0,0,1,1,1,9.18779358014861,"7T"
570,2,91,"complex",74,0,0,0,1,1,1,4.0770345827916,"7T"
571,2,97,"simple",88,0,0,0,1,1,1,3.64049896071112,"7T"
572,2,10,"complex",10,0,0,0,1,1,1,53.8723568116597,"3T"
573,1,97,"simple",85,0,0,0,1,1,1,3.63640032535078,"7T"
574,2,88,"complex",68,0,0,0,1,1,1,4.35797118611043,"7T"
575,2,6,"simple",66,0,0,0,1,1,1,47.8240431027486,"3TP"
576,1,69,"complex",27,0,0,0,1,1,1,7.75947279704744,"7T"
577,2,47,"simple",2,0,0,0,1,1,1,14.4202151616135,"6T"
578,1,51,"complex",39,0,0,0,1,1,1,10.4969950101659,"6T"
579,2,63,"simple",75,0,0,0,1,1,1,6.93097150351626,"7T"
580,2,84,"complex",50,0,0,0,1,1,1,5.03283875368059,"7T"
581,1,60,"simple",63,0,0,0,1,1,1,7.60737747273684,"7T"
582,1,36,"complex",52,0,0,0,1,1,1,14.3884104916524,"6T"
583,1,16,"simple",43,0,0,0,1,1,1,31.177032558672,"4T"
584,1,25,"complex",10,0,0,0,1,1,1,27.6151620316612,"5T"
585,1,81,"simple",33,0,0,0,1,1,1,5.90557491880348,"7T"
586,2,57,"complex",91,0,0,0,1,1,1,7.85306800293347,"7T"
587,1,99,"simple",72,0,0,0,1,1,1,3.55555220473824,"7T"
588,1,46,"complex",43,0,0,0,1,1,1,11.5543716695305,"6T"
589,1,76,"simple",21,0,0,0,1,1,1,7.09536202270691,"7T"
590,2,79,"complex",81,0,0,0,1,1,1,5.03118456306628,"7T"
591,2,41,"simple",55,0,0,0,1,1,1,12.3363382270075,"6T"
592,1,50,"complex",7,0,0,0,1,1,1,13.4110818741546,"6T"
593,1,77,"simple",95,0,0,0,1,1,1,5.2694129778184,"7T"
594,2,5,"complex",43,0,0,0,1,1,1,56.5444739791476,"3TP"
595,2,14,"simple",70,0,0,0,1,1,1,30.5143350965296,"4T"
596,1,66,"complex",50,0,0,0,1,1,1,7.10415287855962,"7T"
597,2,28,"simple",8,0,0,0,1,1,1,24.8663371542242,"5T"
598,1,33,"complex",25,0,0,0,1,1,1,18.7254393235202,"6T"
599,2,6,"simple",49,0,0,0,1,1,1,51.3574279078715,"3TP"
600,2,90,"complex",54,0,0,0,1,1,1,4.42847001781107,"7T"
601,2,4,"simple",35,0,0,0,1,1,1,63.4480622850091,"2T"
602,2,25,"complex",9,0,0,0,1,1,1,27.630951139098,"5T"
603,2,24,"simple",56,0,0,0,1,1,1,20.9263153310742,"5T"
604,2,24,"complex",69,0,0,0,1,1,1,19.9999880316581,"6T"
605,1,85,"simple",5,0,0,0,1,1,1,6.57692472710312,"7T"
606,2,44,"complex",71,0,0,0,1,1,1,10.7984757510076,"6T"
607,2,24,"simple",93,0,0,0,1,1,1,19.7444494689353,"6T"
608,1,55,"complex",24,0,0,0,1,1,1,10.6574615579115,"6T"
609,1,12,"simple",56,0,0,0,1,1,1,35.3793385400871,"4T"
610,1,57,"complex",54,0,0,0,1,1,1,8.4210233012919,"7T"
611,1,78,"simple",56,0,0,0,1,1,1,5.46302177805476,"7T"
612,2,14,"complex",70,0,0,0,1,1,1,30.5143350965296,"4T"
613,1,55,"simple",5,0,0,0,1,1,1,11.9501234790323,"6T"
614,1,40,"complex",67,0,0,0,1,1,1,12.1231993809925,"6T"
615,2,30,"simple",41,0,0,0,1,1,1,18.4094388886175,"6T"
616,1,7,"complex",13,0,0,0,1,1,1,62.3637150417097,"2T"
617,2,15,"simple",98,0,0,0,1,1,1,29.0521071111943,"5T"
618,2,82,"complex",85,0,0,0,1,1,1,4.75512697346295,"7T"
619,2,36,"simple",8,0,0,0,1,1,1,19.3437184629134,"6T"
620,2,60,"complex",6,0,0,0,1,1,1,10.7115987884109,"6T"
621,1,61,"simple",69,0,0,0,1,1,1,7.31610055164826,"7T"
622,2,59,"complex",86,0,0,0,1,1,1,7.4919156429,"7T"
623,1,90,"simple",86,0,0,0,1,1,1,4.1151932082538,"7T"
624,1,91,"complex",43,0,0,0,1,1,1,4.6157687056722,"7T"
625,1,97,"simple",92,0,0,0,1,1,1,3.65446468104943,"7T"
626,1,28,"complex",55,0,0,0,1,1,1,18.2341298301345,"6T"
627,2,98,"simple",46,0,0,0,1,1,1,4.00978426274114,"7T"
628,1,22,"complex",48,0,0,0,1,1,1,23.4972122273123,"5T"
629,1,20,"simple",70,0,0,0,1,1,1,23.3313248744048,"5T"
630,2,38,"complex",24,0,0,0,1,1,1,16.2919642254689,"6T"
631,1,5,"simple",95,0,0,0,1,1,1,49.9882335167777,"3TP"
632,1,32,"complex",33,0,0,0,1,1,1,18.2129133715437,"6T"
633,2,80,"simple",0,0,0,0,1,1,1,7.20927014460904,"7T"
634,2,51,"complex",43,0,0,0,1,1,1,10.2380224794471,"6T"
635,1,41,"simple",98,0,0,0,1,1,1,11.6956081001268,"6T"
636,2,63,"complex",58,0,0,0,1,1,1,7.27773554699886,"7T"
637,1,29,"simple",68,0,0,0,1,1,1,16.8184796292628,"6T"
638,1,52,"complex",1,0,0,0,1,1,1,12.7963698673997,"6T"
639,1,71,"simple",98,0,0,0,1,1,1,5.94919915962528,"7T"
640,2,65,"complex",35,0,0,0,1,1,1,7.94101141707727,"7T"
641,2,25,"simple",69,0,0,0,1,1,1,19.2777199175547,"6T"
642,1,86,"complex",99,0,0,0,1,1,1,4.50068894987201,"7T"
643,2,3,"simple",0,0,0,0,1,1,1,82.2753543695215,"1T"
644,1,24,"complex",2,0,0,0,1,1,1,28.6661853397955,"5T"
645,1,79,"simple",85,0,0,0,1,1,1,5.02698753751309,"7T"
646,2,18,"complex",17,0,0,0,1,1,1,34.3936901350133,"4T"
647,1,19,"simple",87,0,0,0,1,1,1,23.9344299268145,"5T"
648,1,31,"complex",26,0,0,0,1,1,1,19.7847999763416,"6T"
649,2,67,"simple",91,0,0,0,1,1,1,6.36500196783703,"7T"
650,2,45,"complex",62,0,0,0,1,1,1,10.8034642472985,"6T"
651,2,36,"simple",91,0,0,0,1,1,1,13.2891346114315,"6T"
652,1,25,"complex",95,0,0,0,1,1,1,19.0929872764909,"6T"
653,1,68,"simple",84,0,0,0,1,1,1,6.21491454314417,"7T"
654,2,49,"complex",1,0,0,0,1,1,1,13.7352296930278,"6T"
655,1,52,"simple",9,0,0,0,1,1,1,12.7963698673997,"6T"
656,1,51,"complex",37,0,0,0,1,1,1,10.6354629818012,"6T"
657,2,66,"simple",34,0,0,0,1,1,1,7.83455703408466,"7T"
658,2,82,"complex",68,0,0,0,1,1,1,4.85973778084785,"7T"
659,2,100,"simple",32,0,0,0,1,1,1,4.23764194785386,"7T"
660,1,4,"complex",5,0,0,0,1,1,1,77.0936357489756,"2T"
661,1,40,"simple",18,0,0,0,1,1,1,16.1642658200752,"6T"
662,2,51,"complex",72,0,0,0,1,1,1,9.07676270723738,"7T"
663,2,17,"simple",17,0,0,0,1,1,1,35.9419426216086,"4T"
664,1,80,"complex",75,0,0,0,1,1,1,4.96924693076079,"7T"
665,1,66,"simple",31,0,0,0,1,1,1,8.00230147959451,"7T"
666,1,26,"complex",83,0,0,0,1,1,1,18.245427705069,"6T"
667,2,86,"simple",76,0,0,0,1,1,1,4.44551218960334,"7T"
668,1,64,"complex",71,0,0,0,1,1,1,6.83952752823523,"7T"
669,2,61,"simple",74,0,0,0,1,1,1,7.23970079626139,"7T"
670,1,31,"complex",96,0,0,0,1,1,1,15.5948504899694,"6T"
671,2,73,"simple",72,0,0,0,1,1,1,5.70386195620573,"7T"
672,2,73,"complex",75,0,0,0,1,1,1,5.67352476702382,"7T"
673,2,6,"simple",99,0,0,0,1,1,1,47.3753284942714,"3TP"
674,1,6,"complex",30,0,0,0,1,1,1,57.9638279789753,"3T"
675,1,6,"simple",46,0,0,0,1,1,1,52.2140649060481,"3TP"
676,1,91,"complex",4,0,0,0,1,1,1,5.90532238546598,"7T"
677,2,64,"simple",19,0,0,0,1,1,1,9.13691088308786,"7T"
678,1,36,"complex",65,0,0,0,1,1,1,13.64837509401,"6T"
679,2,100,"simple",8,0,0,0,1,1,1,5.04241069012528,"7T"
680,1,90,"complex",97,0,0,0,1,1,1,4.16998229984791,"7T"
681,2,71,"simple",70,0,0,0,1,1,1,5.95604518746824,"7T"
682,2,75,"complex",33,0,0,0,1,1,1,6.60981884546157,"7T"
683,2,71,"simple",46,0,0,0,1,1,1,6.57218778945299,"7T"
684,1,2,"complex",0,0,0,0,1,1,1,87.9193770858312,"1"
685,1,13,"simple",43,0,0,0,1,1,1,36.0031165941133,"4T"
686,2,59,"complex",23,0,0,0,1,1,1,9.83610976832376,"7T"
687,1,48,"simple",50,0,0,0,1,1,1,10.5736412331307,"6T"
688,2,42,"complex",79,0,0,0,1,1,1,11.2372034353112,"6T"
689,2,26,"simple",95,0,0,0,1,1,1,18.4190703787096,"6T"
690,1,99,"complex",12,0,0,0,1,1,1,5.04204099684738,"7T"
691,1,36,"simple",87,0,0,0,1,1,1,13.2471311082403,"6T"
692,2,23,"complex",8,0,0,0,1,1,1,29.7666780113221,"5T"
693,2,6,"simple",0,0,0,0,1,1,1,67.987063590163,"2T"
694,2,74,"complex",95,0,0,0,1,1,1,5.57910705707427,"7T"
695,1,90,"simple",70,0,0,0,1,1,1,4.18389426273828,"7T"
696,1,18,"complex",39,0,0,0,1,1,1,29.23448029401,"5T"
697,2,23,"simple",18,0,0,0,1,1,1,27.8377972901193,"5T"
698,1,75,"complex",20,0,0,0,1,1,1,7.28942599138679,"7T"
699,2,58,"simple",18,0,0,0,1,1,1,10.4589225045375,"6T"
700,1,51,"complex",0,0,0,0,1,1,1,13.0983216850721,"6T"
701,1,12,"simple",81,0,0,0,1,1,1,33.1984204252499,"4TP"
702,1,30,"complex",74,0,0,0,1,1,1,16.0623102234789,"6T"
703,2,75,"simple",40,0,0,0,1,1,1,6.30724316981313,"7T"
704,1,85,"complex",79,0,0,0,1,1,1,4.51158245963894,"7T"
705,1,36,"simple",40,0,0,0,1,1,1,15.4031266908684,"6T"
706,2,25,"complex",3,0,0,0,1,1,1,27.630951139098,"5T"
707,1,37,"simple",92,0,0,0,1,1,1,12.926796255942,"6T"
708,1,98,"complex",16,0,0,0,1,1,1,4.96300306192828,"7T"
709,1,87,"simple",30,0,0,0,1,1,1,5.40810572739309,"7T"
710,1,53,"complex",44,0,0,0,1,1,1,9.71578306299794,"7T"
711,1,5,"simple",88,0,0,0,1,1,1,49.5686506591088,"3TP"
712,2,16,"complex",37,0,0,0,1,1,1,32.3873263929454,"4T"
713,1,77,"simple",62,0,0,0,1,1,1,5.43478343076567,"7T"
714,2,21,"complex",16,0,0,0,1,1,1,30.5966759867935,"4T"
715,1,20,"simple",32,0,0,0,1,1,1,28.1719043185988,"5T"
716,1,44,"complex",13,0,0,0,1,1,1,15.1534092522905,"6T"
717,1,87,"simple",12,0,0,0,1,1,1,6.23345805261422,"7T"
718,1,56,"complex",30,0,0,0,1,1,1,9.96342939910654,"7T"
719,1,21,"simple",84,0,0,0,1,1,1,22.0292388865059,"5T"
720,1,75,"complex",33,0,0,0,1,1,1,6.60981884546157,"7T"
721,2,96,"simple",90,0,0,0,1,1,1,3.71064309477817,"7T"
722,2,21,"complex",3,0,0,0,1,1,1,32.1876663379612,"4T"
723,1,100,"simple",57,0,0,0,1,1,1,3.66496816433144,"7T"
724,1,16,"complex",12,0,0,0,1,1,1,39.1966537577789,"4T"
725,1,0,"simple",86,0,0,0,1,1,1,68.4571429972,"2P"
726,2,87,"complex",21,0,0,0,1,1,1,5.79142153059016,"7T"
727,2,3,"simple",82,0,0,0,1,1,1,56.3327598883341,"3TP"
728,2,55,"complex",42,0,0,0,1,1,1,9.39757711523972,"7T"
729,2,27,"simple",79,0,0,0,1,1,1,17.6538680797725,"6T"
730,2,21,"complex",45,0,0,0,1,1,1,24.8626731591236,"5T"
731,2,31,"simple",70,0,0,0,1,1,1,15.6785207537164,"6T"
732,1,48,"complex",71,0,0,0,1,1,1,9.77157225433563,"7T"
733,1,21,"simple",66,0,0,0,1,1,1,22.6417241903984,"5T"
734,2,43,"complex",94,0,0,0,1,1,1,11.0078615373922,"6T"
735,2,75,"simple",100,0,0,0,1,1,1,5.53326500323749,"7T"
736,1,98,"complex",94,0,0,0,1,1,1,3.60164551011233,"7T"
737,1,60,"simple",75,0,0,0,1,1,1,7.38335203635771,"7T"
738,1,3,"complex",1,0,0,0,1,1,1,82.2753543695215,"1T"
739,1,51,"simple",15,0,0,0,1,1,1,12.553805745928,"6T"
740,1,12,"complex",54,0,0,0,1,1,1,35.7033606603796,"4T"
741,2,5,"simple",13,0,0,0,1,1,1,70.4961206387575,"2T"
742,2,19,"complex",94,0,0,0,1,1,1,24.1091775276539,"5T"
743,1,74,"simple",0,0,0,0,1,1,1,8.0739609921402,"7T"
744,2,7,"complex",6,0,0,0,1,1,1,63.9965410526274,"2T"
745,2,20,"simple",6,0,0,0,1,1,1,33.5220184350951,"4T"
746,1,59,"complex",23,0,0,0,1,1,1,9.83610976832376,"7T"
747,1,38,"simple",62,0,0,0,1,1,1,13.0193745134266,"6T"
748,2,66,"complex",11,0,0,0,1,1,1,9.36910807282687,"7T"
749,1,58,"simple",1,0,0,0,1,1,1,11.1836211498113,"6T"
750,2,49,"complex",53,0,0,0,1,1,1,10.1668170340665,"6T"
751,2,42,"simple",41,0,0,0,1,1,1,12.9624036356234,"6T"
752,2,16,"complex",43,0,0,0,1,1,1,31.177032558672,"4T"
